meanR,meanG,meanB,stdR,stdG,stdB,skewR,skewG,skewB,kurR,kurG,kurB,Class
17.39577554857,18.0572781835552,4.54884353427022,40.8183145303072,42.7474001634626,15.2353747317534,2.08055837066397,2.11761232026179,4.19482405324644,2.78664460728066,2.92286763165222,18.9327459535091,1
17.0489302114152,17.1439649593195,4.28585737179487,41.3894661711934,42.1162785881176,14.2435159853657,2.18573715455964,2.23331795949324,4.19578036073175,3.24324479503764,3.43664585731068,19.7001064754307,1
19.9573009122288,16.4985842732988,5.08215645032051,48.7247945749137,40.8169208514955,15.2033348073066,2.16933814622519,2.24572314415627,3.863508556307,3.06908593731417,3.47467138465709,17.3133743974499,1
19.7130659054487,18.0292583518245,4.70769577477811,47.4849118731535,43.6292222351947,14.2303070224108,2.1350992003023,2.14798212369075,3.98722248128051,2.92058970247708,2.92633072447925,18.9569528779295,1
17.3839142628205,14.5812376725838,4.63271811821992,46.0066652354588,38.9003824183751,14.4467194927612,2.41703079787271,2.45825074631991,3.90399867952667,4.25913600270059,4.46018620428417,17.4388454959904,1
17.1679186698718,15.8925396018245,4.83165950135602,44.6528735963574,41.3127566832448,14.4923097009247,2.37159928238673,2.3546051536581,3.6842593512794,4.05867842265089,3.91212631042061,15.8222519105272,1
17.3052807569034,15.026954665927,5.00682052822978,44.0865371823331,38.3784157066552,14.765863204101,2.31949974188245,2.31899099974652,3.56791657319856,3.82614920077404,3.77241115583029,14.4981842326173,1
16.1847590760602,15.445027428501,4.88979097324951,42.8183275631457,40.9004136982618,14.9722385977628,2.38994269068931,2.37886059589395,3.74328280241135,4.11218843026559,3.96063006551964,15.8779093990122,1
18.1695751664201,15.9105395555967,4.63576915372288,46.2449479185512,40.6443576815713,13.3642924665367,2.26203596559231,2.28350552908916,3.60223634813653,3.3918139212422,3.50536161638508,16.2877774417986,1
19.8189410749507,17.276652258999,4.51497203217456,48.5069641021603,42.6625903523317,13.591486712106,2.13260374276048,2.18344409100193,4.05296386250358,2.76134954387811,3.02404663718402,19.9977159007968,1
20.247424725715,16.8071741709813,5.09155225283531,49.458288482669,41.371991670535,14.7401735409885,2.13455081273516,2.1866729971299,3.58022292090002,2.80923235745159,3.09928533592047,14.7441189963703,1
17.2541990261341,14.5586438301282,4.83467779215976,42.3132544067019,36.1842443865353,14.6793211308784,2.20702209382822,2.28948152566155,4.03350690318996,3.31678916119778,3.77197360016607,19.2397664875053,1
15.8785036828156,16.4861528445513,3.32417252218935,37.8630849132892,39.7050084084814,11.7860092168923,2.16744015533139,2.20237975577692,5.05364583079736,3.2799328591106,3.38908519083488,31.1689289157653,1
16.5983207747781,13.8803547214004,5.56166404709073,43.1238309613449,36.557062470598,16.2910226895333,2.39157605497913,2.47881657100339,3.54808347319443,4.19384533015178,4.71515784890175,14.1854183304445,1
19.0372576892258,19.5078336877466,4.78333217763807,42.5554327881217,44.188511162187,14.2369364591633,1.95814400986281,1.9991378205634,4.12670286095141,2.19266347498757,2.32668281295148,20.6649036270903,1
13.7783434264053,12.3865742880917,3.73830243774655,32.5856101831125,30.2739928016642,13.2239888758703,2.16759424516662,2.33818703121779,4.93750030175236,3.24611236048005,4.15247746273345,28.1607801667087,1
13.8963437654093,13.6204484868097,4.1916585767998,39.0688661661454,38.8254936708543,14.233069915148,2.6295711618221,2.69851759377978,4.3885367858848,5.38434283438313,5.76039314381852,22.4046303646358,1
14.4227571807199,14.2484898915187,3.7557919594428,38.4030995942808,38.3371328068396,12.9028872877858,2.49860036925969,2.53550998501475,4.89400725597238,4.88020441938146,5.00980317225608,29.7676784631419,1
17.5737583980523,16.9522312623274,4.73810211723373,43.9564899275689,42.7798165274474,14.9230470432018,2.20368367633727,2.25645508897524,3.99115890145391,3.14033931750749,3.40829517451563,18.1117301290434,1
18.4666639700444,17.2810650887574,4.67794240014793,46.3129311051496,43.8742619947227,15.5632342638109,2.27405547633947,2.35023142559408,4.19442515261429,3.61200705894496,4.04110559128843,19.4858636408874,1
19.513386803501,18.4823814256657,4.99534254807692,46.0955702838542,44.3592010978304,14.7582467952542,2.10841309372911,2.18757697871886,3.90077299690206,2.83717338002988,3.2095246854227,18.0095163406852,1
21.5526226577909,19.2535306490385,4.67925026195759,49.2310985133381,44.8006132561297,14.8824824130354,2.01083333767702,2.10233422724837,4.09385003262623,2.42867728884548,2.86103667950217,18.5158167242547,1
