lbp1,lbp2,lbp3,lbp4,lbp5,lbp6,lbp7,lbp8,lbp9,lbp10,lbp11,lbp12,Class
46739,10014,11789,5487,8702,2909,8307,3109,6622,5327,6921,9749,1
44959,9426,11673,5533,9122,3344,8689,3813,7220,6212,7942,10781,1
48673,9808,12256,5913,9293,2977,8272,3288,6420,5272,7030,9547,1
49589,9952,12735,6174,9426,3537,8361,3676,6459,5617,6971,9519,1
47756,9791,12348,5640,9141,2845,8472,3001,6230,5108,6727,9128,1
49690,10160,12604,5946,8995,3049,7941,3278,6205,5131,6478,8528,1
46612,9842,11974,5511,9230,2936,8534,3032,6593,5216,6688,9205,1
49205,10095,12225,5538,8735,2988,8031,3078,6335,4992,6589,8848,1
44356,9615,11720,5518,9453,2831,9013,3099,7059,5391,7203,9730,1
50547,9910,12659,6156,9140,3285,7967,3293,6300,5197,6518,8918,1
49972,10091,12774,6189,9427,3345,8283,3330,6267,5292,6597,8816,1
48198,9857,12235,5833,9024,3138,8141,3175,6451,5025,6735,9229,1
44749,9384,11618,5631,9102,3176,9061,3700,7400,6042,7606,10350,1
47947,9838,12308,5552,8925,2837,8098,2963,6243,5016,6758,9210,1
47931,9467,12137,5865,8959,3286,8335,3645,6681,5837,7645,10181,1
44509,9796,11674,5655,9282,3205,9035,3426,7171,5856,7719,10669,1
45180,9718,11884,5371,9026,2710,8761,3109,6897,5419,7371,9680,1
42822,9636,11035,4964,9035,2496,9074,2984,7344,5265,7516,9673,1
29851,7690,8817,3663,8053,1981,9536,2705,8621,5915,9375,12651,1
43730,9437,11638,5193,9075,2811,8959,3259,6975,5551,7533,9904,1
46709,9824,11693,5696,9177,3230,8654,3574,6640,5635,7511,9749,1
44560,9434,11547,5803,9479,3603,9189,3976,7802,6687,8398,11439,1
47111,9740,11922,5533,8820,2922,8339,3388,6510,5477,7114,9963,1
44084,9464,11757,5641,9854,3401,9500,3676,7549,5958,7779,10434,1
45991,9636,12085,6006,9595,3628,8849,4031,7303,6370,7604,10509,1
46103,9247,11873,5886,9375,3391,8984,3706,7237,5929,7602,10448,1
43519,9227,11334,5749,9436,3557,9505,3837,7861,6480,8289,11453,1
45894,9566,11871,5731,9465,3319,9096,3668,7156,5726,7297,10321,1
44274,9626,11762,5949,9272,3745,9205,4152,7814,6709,8757,11312,1
47604,9846,12102,6169,9694,3567,8711,3696,6919,5888,7511,9968,1
40919,9441,11269,5255,9340,2877,9407,3400,7776,6078,8433,11176,1
43812,9733,11650,5739,9454,3488,9227,3876,7472,6213,8103,10637,1
43576,9333,11429,5672,9295,3274,9201,3740,7463,6112,8286,11105,1
45119,9664,11759,5502,9030,2916,8614,3291,6820,5641,7583,10296,1
43539,9296,11709,5688,9571,3370,9315,3639,7524,6156,8087,11318,1
42847,9275,11548,5631,9628,3163,9716,3530,7888,5953,7792,10755,1
46966,9469,12153,6185,9588,3672,9011,4017,7236,6203,7818,10439,1
43915,9553,11585,5664,9542,3300,9417,3664,7430,6153,7891,10745,1
44718,9455,11889,5801,9803,3398,9572,3709,7613,5994,7947,10807,1
46429,9579,11971,5979,9772,3426,9118,3854,7366,5939,7711,10358,1
47138,9673,12305,6255,9803,3661,9006,4056,7286,6119,7868,10276,1
47485,9812,12149,6195,9739,3829,8926,4048,7071,6028,7727,10301,1
48124,9765,12469,6186,9520,3810,8817,4003,6880,5903,7601,9624,1
47134,9829,12076,6093,9461,3497,8898,3793,7071,5889,7662,10062,1
45721,9622,11695,5681,9088,3233,8760,3679,6889,5839,7608,10222,1
47587,9979,12424,6281,9673,3556,8829,3878,7047,5848,7452,9637,1
45649,9503,11867,5960,9611,3559,9136,3826,7288,5936,7953,10637,1
44832,9325,11962,5790,9521,3054,9048,3674,7422,6075,8013,10583,1
