Widht,Length,Diameter,Perimeter,Area,AspectRatio,FormFactor,Rectangularity,Narrow Factor,RatioOfDiameter,RatioPLPW,Solidity,Convexity,Class
192,698,325.766602698778,1645.09962940216,83349.5,3.63541666666667,0.387015584640921,1.60788007126617,0.466714330514009,5.04993334422102,1.84842654989007,0.844665703934534,0.935651462032248,1
206,665,317.581108816124,1589.64378535748,79213.5,3.22815533980583,0.393921272080292,1.729376937012,0.477565577167104,5.00547337744155,1.82507897285588,0.808610437667475,0.940174118141426,1
269,527,314.285503008752,1519.6164355278,77578,1.95910780669145,0.422163302899292,1.82736084972544,0.596367178384729,4.83514645435454,1.90906587377865,0.688771003040863,0.876343809034799,1
259,553,318.502884582274,1504.5037381649,79674,2.13513513513514,0.442323428300333,1.79766297662977,0.575954583331418,4.72367382210087,1.85283711596663,0.716009885419007,0.902351496661115,1
250,514,293.311306973001,1420.62148678303,67569,2.056,0.420727207183941,1.90175968269473,0.570644566095333,4.84339148546289,1.85945220783119,0.693595159030369,0.895135757795427,1
165,614,298.019229350681,1440.16355574131,69755.5,3.72121212121212,0.422634247792286,1.45235859537958,0.485373337704692,4.83245178131329,1.8487337044176,0.869856095371109,0.949629234366014,1
170,627,304.011817718951,1471.92091584206,72589,3.68823529411765,0.421028722467548,1.46840430368238,0.484867332885089,4.84165690296553,1.84682674509668,0.866372262338128,0.949054794212477,1
191,570,291.292344115393,1377.46001946926,66642,2.98429319371728,0.441367023032783,1.63365445214729,0.511039200202444,4.72878895479516,1.81006572860613,0.830688688064818,0.940762981480513,1
188,585,302.039092470287,1431.46001887322,71650,3.11170212765958,0.439407650032626,1.53496161898116,0.516306140974849,4.73932035474526,1.85182408651127,0.814042661970631,0.93807925141434,1
211,599,312.17481982738,1477.01636755467,76539.5,2.83886255924171,0.440884538715529,1.65129116338623,0.521159966322838,4.73137573482511,1.82347699698107,0.798963449323319,0.938134189787211,1
215,614,312.533531471633,1532.81535685062,76715.5,2.85581395348837,0.410311130570124,1.72077350730948,0.509012266240445,4.90448288742979,1.84899319282343,0.761149530206669,0.929528488276893,1
246,539,314.634726664002,1459.91795027256,77750.5,2.19105691056911,0.458412189971729,1.70537810046238,0.583737897335811,4.64004074105782,1.85976808951919,0.736186530950408,0.903748710957793,1
189,656,323.507507607426,1573.35951519013,82197.5,3.47089947089947,0.417265550695967,1.50836704279327,0.493151688425954,4.86344050197248,1.86196392330192,0.834958606328407,0.942204616658456,1
243,526,300.618295827849,1433.77581441402,70977.5,2.16460905349794,0.433878431944411,1.80082420485365,0.571517672676519,4.7694230002391,1.86446789910796,0.702712736993218,0.899425114049472,1
310,624,344.373853414087,1708.24385023117,93143,2.01290322580645,0.401107104162337,2.07680663066468,0.551881175343089,4.96043422953228,1.82895487176785,0.69881533833007,0.88964909627311,1
263,596,329.703047258149,1627.21441626549,85376,2.26615969581749,0.405187558036758,1.83597263868066,0.553193032312331,4.93539392431342,1.89431247527996,0.694537319503762,0.894699988155709,1
207,526,279.521635410702,1372.33721792698,61365,2.54106280193237,0.409457583810493,1.77433390369103,0.531409953252285,4.90959211765702,1.87221994260161,0.432255951311772,1.23299953451098,1
162,626,294.313431714644,1470.36456668377,68031.5,3.8641975308642,0.39543021772695,1.49066241373481,0.470149251940325,4.99591390755616,1.86594488157839,0.844157536201313,0.947718990964869,1
185,656,305.503319700002,1546.00417518616,73303,3.54594594594595,0.385398737870869,1.65559390475151,0.465706280030491,5.06051514171532,1.83829271722492,0.832095079715533,0.943394279048263,1
248,536,308.886454711925,1451.08952224255,74935.5,2.16129032258065,0.447207482075807,1.77389888637562,0.576280699089411,4.69780885534741,1.85087949265631,0.722618129218901,0.902348786218161,1
281,551,326.898085601384,1540.14334785938,83929.5,1.96085409252669,0.444633531187953,1.84477448334614,0.593281462071478,4.71138686855883,1.85113383156176,0.73209760778071,0.893757426361109,1
218,681,335.514964269699,1650.27120280266,88412.5,3.12385321100917,0.407955593838441,1.67915170366181,0.492679830058296,4.91862175624486,1.83567430790062,0.836938412313751,0.936290295557601,1
320,578,342.062705424791,1656.87126743794,91897,1.80625,0.420662370257528,2.01268811821931,0.591803988624206,4.84376472840074,1.84506822654558,0.70378979050274,0.879076494938066,1
181,644,314.554793733801,1525.09248793125,77711,3.55801104972376,0.419855646074332,1.4999678295222,0.48843912070466,4.8484159781138,1.84859695506818,0.850690472411207,0.949440464857202,1
200,713,343.952107565963,1670.95035266876,92915,3.565,0.418185146074198,1.53473604907711,0.482401272883538,4.85809016985979,1.83017563271496,0.882056977947389,0.957562678866244,1
182,727,335.607925988928,1705.21737778187,88461.5,3.9945054945055,0.382300321729289,1.49572412857571,0.461634010988896,5.08098064953962,1.87592670823088,0.846416235300872,0.941103242532382,1
220,692,337.864309129022,1650.91586446762,89655,3.14545454545455,0.413365757049124,1.69806480397078,0.488243221284713,4.8863280904796,1.81021476367064,0.822232514203699,0.947607603875945,1
205,684,329.951073119649,1656.1290653944,85504.5,3.33658536585366,0.391751328010275,1.63991368875322,0.482384609824048,5.01931710582389,1.86291233452689,0.795350005348564,0.933695808752083,1
249,701,359.67428888301,1800.40323293209,101603.5,2.81526104417671,0.393893636259576,1.71794278740398,0.513087430646234,5.00564896791302,1.89516129782325,0.740706854947475,0.910324566202527,1
260,591,326.810438313002,1558.82963860035,83884.5,2.27307692307692,0.4338047220164,1.83180444539814,0.552978745030461,4.76982818127548,1.83176220752098,0.726417381816293,0.909310895659254,1
266,573,327.679056466935,1554.30272555351,84331,2.15413533834587,0.438657841361329,1.80737806974897,0.571865718092383,4.74336914391827,1.85256582306736,0.713883010242953,0.905869753577567,1
291,623,350.821593880005,1659.74132704735,96663.5,2.14089347079038,0.440952251274987,1.8755062665846,0.563116523081871,4.73101244621517,1.81590954819185,0.732585061596002,0.904981282643412,1
