lbp13,lbp14,lbp15,lbp16,lbp17,lbp18,lbp19,lbp20,lbp21,lbp22,lbp23,lbp24,Class
9987,14749,7974,11506,5445,10997,7418,10671,11801,11237,18374,12390,1
10257,15873,8377,12614,6440,11824,8013,10871,12080,11079,18464,11778,1
11187,14906,7922,10822,5417,10680,7298,10412,11514,11121,18190,12646,1
10891,14584,7801,10118,5688,10240,7258,10322,11553,11262,17699,13191,1
10914,14807,7837,10586,5162,10676,7397,10734,11790,11331,19217,12617,1
8641,13185,7134,10476,5321,10159,7157,10169,11198,11199,18144,13376,1
9576,15024,7401,11497,5168,11298,7704,11188,12296,11309,19272,12079,1
9413,13908,7106,10554,5260,10504,7176,10286,11643,11136,18677,12984,1
10088,15899,7497,12285,5372,12386,8035,11762,12853,11312,19723,11447,1
8871,13362,7396,10293,5669,10081,7430,10109,11258,11321,17847,13230,1
9012,13432,7282,10528,5570,10184,7235,10267,11167,11213,17913,13101,1
10798,14570,7431,10669,5333,10837,7345,10659,11651,11244,18613,12408,1
9682,15353,8123,12625,6416,11902,8273,11096,12360,11350,18686,11773,1
10786,14522,7208,10442,4741,10455,7047,10260,11655,10930,18778,12603,1
11171,15218,8496,11513,6034,10799,7773,10400,11556,10985,17796,12552,1
11651,16323,8151,11995,5429,11415,7469,10771,11885,11049,18592,11405,1
11132,15310,7765,11507,5094,11544,7607,11089,12059,11178,19280,11822,1
10004,16077,7384,13056,5026,12682,7833,11602,12697,11002,20270,11146,1
15929,24356,9613,17194,5243,16202,8795,13047,14057,10329,22316,7807,1
12103,16092,7780,12174,5297,12200,7886,11894,12623,11441,19849,11500,1
11350,15312,7884,10989,5803,11092,7710,10902,11673,11175,18475,12208,1
11357,16566,9277,13212,6919,12011,8343,11147,12137,11215,17788,11858,1
11641,15776,8372,10922,5284,10731,7303,10435,11178,10924,18159,12530,1
10761,15985,7980,12617,6007,12076,8212,11381,12553,11211,18963,11297,1
11091,16327,8843,12330,6559,11337,8066,10575,11766,10980,17383,12216,1
10750,15670,8587,12405,6258,11627,8200,11175,12580,11492,18172,11800,1
11619,17909,8889,13673,6457,12501,8641,11448,12512,11121,18253,11056,1
10374,15692,7985,12132,5792,11454,7959,11238,12364,11047,18332,11923,1
11829,16264,9079,13124,6656,12255,8253,11325,11899,11094,18239,11429,1
10818,15125,7995,11076,5917,11054,7854,10948,12057,11333,18040,12322,1
12267,17624,8752,13396,5616,12920,8278,11902,12984,11078,19650,10641,1
12508,16488,8419,12407,6137,12063,8305,11578,12413,11326,18508,11507,1
12723,17362,9138,12769,5983,11963,8107,11375,12243,11200,18716,11283,1
12287,16471,8236,11330,5412,11706,7548,11119,12128,11144,19117,11544,1
11254,16404,8681,13188,6035,12108,8286,11254,12531,11182,18627,11476,1
11171,16689,7993,12920,5684,12690,8227,11576,12704,11026,18882,11025,1
12013,15521,8570,11482,6315,11352,8029,11100,11997,11460,17516,12330,1
12071,16502,8094,12550,5683,12313,8261,11676,12411,11554,19018,11268,1
10950,15822,8104,12501,5775,12019,8175,11077,12340,11306,18661,11742,1
10793,15606,8138,11909,6044,11235,7885,10957,12035,11148,18035,12106,1
11645,15562,8485,11248,5853,11044,7674,10890,11645,11262,17421,12405,1
12072,14966,8244,11209,5737,10782,7512,10564,11577,11294,17714,12559,1
