lbp15,lbp16,lbp17,lbp18,lbp19,lbp20,lbp21,lbp22,lbp23,lbp24,lbp25,lbp26,Class
7557,12281,6498,12017,8603,11515,12385,11584,18472,12477,11311,3270,1
6993,11420,5979,11492,8107,11018,12336,11575,18761,12704,11208,3399,1
6954,11708,5676,11782,8106,11617,12460,11906,19256,12643,11370,3154,1
7254,13359,5881,13264,8685,12381,13554,11507,20027,11234,11153,2720,1
6760,12477,5931,12062,8363,11687,12777,11772,19271,12089,11422,3272,1
7183,12522,5789,12387,8312,11800,13012,11438,19727,11738,11383,2799,1
7250,10889,5958,10545,7636,10325,11731,11329,18576,13148,11706,3770,1
7451,13741,5497,13425,8347,12242,13347,11243,20580,10390,11247,2756,1
6290,11750,4675,12099,7684,11466,12740,11154,20693,11898,11730,2847,1
6931,11062,5427,11038,7578,10900,11811,11275,19133,12773,11615,3436,1
6506,10567,5302,10916,7589,10647,12006,11533,18878,13100,11646,3409,1
7793,13130,6586,12584,8728,11603,12766,11398,18883,12023,10942,3232,1
6339,10468,5586,10766,7786,10765,12047,11540,18700,13123,11659,3703,1
6315,10760,5546,11557,7901,11337,12293,11298,19445,12619,11678,3262,1
6718,11285,5666,11590,7765,11198,11941,11650,18571,12785,11207,3271,1
6058,9624,5302,9910,7359,10183,11416,11662,18400,13750,12079,3884,1
6383,10074,5694,10449,7492,10213,11504,11240,17825,13902,11586,3802,1
6425,11808,5722,12227,8071,11755,12582,11565,19905,12084,11513,3004,1
6095,10072,5397,10365,7326,10324,11578,11537,18819,13600,11876,3662,1
6891,11355,6289,11106,8236,10801,11882,11430,17773,13100,11565,3823,1
7369,13338,5590,13452,8655,12066,13481,11265,20160,11310,11242,2699,1
7276,13840,6086,13446,8871,12364,13392,11513,20222,10686,11099,2605,1
8004,13390,5979,12967,8551,11886,13444,11324,19923,11225,11156,2631,1
7412,12307,5730,11581,8088,11149,12716,11453,19051,12367,11372,3297,1
8104,12111,6560,11349,8511,11070,12166,11671,18116,12793,10966,3422,1
8054,12643,6561,12432,8737,11557,12593,11634,18673,11916,10925,3080,1
8230,14345,6841,13656,8982,12287,13387,11455,19525,10998,10727,2616,1
6879,10942,6255,10818,7992,10695,12034,11611,17820,13389,11623,3899,1
6185,11063,5246,11741,7877,11250,12512,11569,19512,12825,11535,3181,1
6388,9872,5375,10236,7482,10394,11586,11501,18537,13585,11935,3691,1
6389,11415,5382,11677,7954,11316,12213,11468,19435,12595,11396,3184,1
7271,11301,5840,11407,8001,11010,12086,11399,19364,12426,11628,3231,1
7653,11358,6657,11045,8313,10761,12141,11694,17689,13425,11378,3688,1
8321,12618,6440,11950,8248,11523,12554,11440,18626,12365,11225,3368,1
7415,12780,6552,12548,8872,11733,12837,11904,18935,12291,11151,3165,1
8026,13064,6890,12400,8778,11715,12521,11729,18425,12050,10728,3047,1
