Date,Unit Name,Longitude,Latitude,Fuel Type,Time,MW,MVAR
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,5:30,323,19
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,6:00,323,50
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,6:30,322,50
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,7:00,326,52
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,7:30,320,100
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,8:00,322,96
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,8:30,324,102
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,9:00,325,86
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,9:30,325,88
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,10:00,324,110
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,10:30,324,110
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,11:00,326,83
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,11:30,322,78
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,12:00,326,76
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,12:30,322,114
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,13:00,315,112
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,13:30,317,123
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,14:00,324,121
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,14:30,321,92
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,15:00,328,102
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,15:30,324,100
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,16:00,324,103
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,16:30,320,98
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,17:00,319,112
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,17:30,313,116
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,18:00,320,110
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,18:30,322,114
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,19:00,324,113
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,19:30,324,53
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,20:00,323,50
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,20:30,322,50
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,21:00,318,67
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,21:30,317,62
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,22:00,322,65
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,22:30,320,65
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,23:00,323,51
7/1/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,23:30,322,55
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,0:00,321,96
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,0:30,320,96
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,1:00,320,95
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,1:30,316,67
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,2:00,317,45
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,2:30,322,45
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,3:00,326,46
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,3:30,319,46
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,4:00,323,46
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,4:30,322,45
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,5:00,325,46
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,5:30,320,46
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,6:00,323,47
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,6:30,324,47
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,7:00,324,47
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,7:30,324,28
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,8:00,324,25
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,8:30,324,25
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,9:00,320,26
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,9:30,321,24
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,10:00,316,24
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,10:30,316,25
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,11:00,321,25
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,11:30,318,25
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,12:00,317,24
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,12:30,328,24
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,13:00,319,26
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,13:30,323,24
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,14:00,325,26
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,14:30,323,51
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,15:00,322,51
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,15:30,323,101
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,16:00,323,102
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,16:30,324,133
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,17:00,323,134
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,17:30,323,133
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,18:00,331,133
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,18:30,324,133
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,19:00,325,102
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,19:30,322,102
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,20:00,319,101
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,20:30,322,124
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,21:00,323,123
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,21:30,323,122
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,22:00,323,123
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,22:30,322,96
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,23:00,327,96
7/2/2024,Jatim 1 #1,113.586780014842,-7.71623683310037,Batubara,23:30,321,96
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,0:00,321,19
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,0:30,320,29
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,1:00,320,25
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,1:30,321,27
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,2:00,316,27
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,2:30,315,28
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,3:00,320,27
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,3:30,318,26
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,4:00,318,28
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,4:30,319,27
7/2/2024,Jatim 1 #2,113.586780014842,-7.71623683310037,Batubara,5:00,319,27
